assembly_accession,assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,"relation_to_type_material
",filepath
GCF_003063625.1,GCF_003063625.1,PRJNA224116,SAMN08394866,,na,2172099,2172099,Catenovulum sp. CCB-QB4,strain=CCB-QB4,,latest,Complete Genome,Major,Full,2018/04/23,ASM306362v1,University Sains Malaysia,GCA_003063625.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/063/625/GCF_003063625.1_ASM306362v1,,"
",GCF_003063625.1_ASM306362v1_genomic.gbff
GCF_003065405.1,GCF_003065405.1,PRJNA224116,SAMN08388720,,na,2080740,2080740,Corynebacterium sp. 2183,strain=2183,,latest,Complete Genome,Major,Full,2018/04/23,ASM306540v1,Chinese center for disease control and prevention,GCA_003065405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/065/405/GCF_003065405.1_ASM306540v1,,"
",GCF_003065405.1_ASM306540v1_genomic.gbff
GCF_003065605.1,GCF_003065605.1,PRJNA224116,SAMN08388719,,na,2079793,2079793,Aeromicrobium sp. 592,strain=592,,latest,Complete Genome,Major,Full,2018/04/23,ASM306560v1,Chinese center for disease control and prevention,GCA_003065605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/065/605/GCF_003065605.1_ASM306560v1,,"
",GCF_003065605.1_ASM306560v1_genomic.gbff
GCF_003071405.1,GCF_003071405.1,PRJNA224116,SAMN06641975,,representative genome,1075,1075,Rhodobacter blasticus,strain=28/5,,latest,Complete Genome,Major,Full,2018/04/25,ASM307140v1,NEB,GCA_003071405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/071/405/GCF_003071405.1_ASM307140v1,,"
",GCF_003071405.1_ASM307140v1_genomic.gbff
GCF_003072645.1,GCF_003072645.1,PRJNA224116,SAMN08931231,,na,2169539,2169539,Gammaproteobacteria bacterium DM2,strain=DM2,,latest,Complete Genome,Major,Full,2018/04/26,ASM307264v1,National Taiwan University,GCA_003072645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/072/645/GCF_003072645.1_ASM307264v1,,"
",GCF_003072645.1_ASM307264v1_genomic.gbff
GCF_003073475.1,GCF_003073475.1,PRJNA224116,SAMN08967870,,na,2495645,2495645,Actinobaculum sp. 313,strain=313,,latest,Complete Genome,Major,Full,2018/04/30,ASM307347v1,Chinese Center for Disease Control and Prevention,GCA_003073475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/073/475/GCF_003073475.1_ASM307347v1,,"
",GCF_003073475.1_ASM307347v1_genomic.gbff
GCF_003076455.1,GCF_003076455.1,PRJNA224116,SAMN06819498,,representative genome,1355330,1355330,Flavobacterium faecale,strain=WV33,,latest,Complete Genome,Major,Full,2018/05/01,ASM307645v1,Ajou University,GCA_003076455.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/076/455/GCF_003076455.1_ASM307645v1,,"assembly from type material
",GCF_003076455.1_ASM307645v1_genomic.gbff
GCF_003076475.1,GCF_003076475.1,PRJNA224116,SAMN06819499,,representative genome,1678728,1678728,Flavobacterium kingsejongi,strain=WV39,,latest,Complete Genome,Major,Full,2018/05/01,ASM307647v1,Ajou University,GCA_003076475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/076/475/GCF_003076475.1_ASM307647v1,,"assembly from type material
",GCF_003076475.1_ASM307647v1_genomic.gbff
GCF_003096015.2,GCF_003096015.2,PRJNA224116,SAMN08969739,,representative genome,2172103,2172103,Limnobaculum parvum,strain=HYN0051,,latest,Complete Genome,Major,Full,2018/06/08,ASM309601v2,Korea University,GCA_003096015.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/015/GCF_003096015.2_ASM309601v2,,"assembly from type material
",GCF_003096015.2_ASM309601v2_genomic.gbff
GCF_003096035.1,GCF_003096035.1,PRJNA224116,SAMN08999466,,representative genome,2175091,2175091,Flavobacterium album,strain=HYN0059,,latest,Complete Genome,Major,Full,2018/05/07,ASM309603v1,Korea University,GCA_003096035.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/035/GCF_003096035.1_ASM309603v1,,"assembly from type material
",GCF_003096035.1_ASM309603v1_genomic.gbff
GCF_003096075.1,GCF_003096075.1,PRJNA224116,SAMN04880518,,representative genome,546160,546160,Dietzia lutea,strain=YIM 80766,,latest,Complete Genome,Major,Full,2018/05/07,ASM309607v1,Peking University,GCA_003096075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/075/GCF_003096075.1_ASM309607v1,,"assembly from type material
",GCF_003096075.1_ASM309607v1_genomic.gbff
GCF_003096175.1,GCF_003096175.1,PRJNA224116,SAMN06834810,,representative genome,332101,332101,Clostridium drakei,strain=SL1,,latest,Complete Genome,Major,Full,2018/05/07,ASM309617v1,Korean Advanced Institute of Science and Technology,GCA_003096175.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/175/GCF_003096175.1_ASM309617v1,,"assembly from type material
",GCF_003096175.1_ASM309617v1_genomic.gbff
GCF_003097535.1,GCF_003097535.1,PRJNA224116,SAMN08969845,,representative genome,2172098,2172098,Flavobacterium pallidum,strain=HYN0049,,latest,Complete Genome,Major,Full,2018/05/08,ASM309753v1,Korea University,GCA_003097535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/097/535/GCF_003097535.1_ASM309753v1,,"assembly from type material
",GCF_003097535.1_ASM309753v1_genomic.gbff
GCF_003100395.1,GCF_003100395.1,PRJNA224116,SAMN09010100,,representative genome,1296669,1296669,Aquabacterium olei,strain=NBRC 110486,,latest,Complete Genome,Major,Full,2018/05/09,ASM310039v1,Zhejiang Academy of Agricultural Sciences,GCA_003100395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/100/395/GCF_003100395.1_ASM310039v1,,"assembly from type material
",GCF_003100395.1_ASM310039v1_genomic.gbff
GCF_003111645.1,GCF_003111645.1,PRJNA224116,SAMN07267281,,na,41977,41977,Azoarcus communis,strain=TSPY31,,latest,Complete Genome,Major,Full,2018/05/10,ASM311164v1,Gyeongbuk Institute for Marine Bioindustry(GIMB),GCA_003111645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/111/645/GCF_003111645.1_ASM311164v1,,"
",GCF_003111645.1_ASM311164v1_genomic.gbff
GCF_003122385.1,GCF_003122385.1,PRJNA224116,SAMN09062264,,representative genome,2183896,2183896,Flavobacterium crocinum,strain=HYN0056,,latest,Complete Genome,Major,Full,2018/05/14,ASM312238v1,Korea University,GCA_003122385.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/122/385/GCF_003122385.1_ASM312238v1,,"assembly from type material
",GCF_003122385.1_ASM312238v1_genomic.gbff
GCF_003122425.1,GCF_003122425.1,PRJNA224116,SAMN07168131,,na,1878942,1878942,Candidatus Fukatsuia symbiotica,strain=5D,,latest,Complete Genome,Major,Full,2018/05/14,ASM312242v1,The University of Georgia,GCA_003122425.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/122/425/GCF_003122425.1_ASM312242v1,,"
",GCF_003122425.1_ASM312242v1_genomic.gbff
GCF_003130605.1,GCF_003130605.1,PRJNA224116,SAMN05181544,,na,115981,28901,Salmonella enterica subsp. enterica serovar Montevideo,strain=CFSAN051296,,latest,Complete Genome,Major,Full,2018/05/17,ASM313060v1,Center for Food Safety and Applied Nutrition,GCA_003130605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/130/605/GCF_003130605.1_ASM313060v1,,"
",GCF_003130605.1_ASM313060v1_genomic.gbff
GCF_003143515.1,GCF_003143515.1,PRJNA224116,SAMN09104968,,representative genome,945844,945844,Massilia oculi,strain=CCUG 43427,,latest,Complete Genome,Major,Full,2018/05/19,ASM314351v1,Shanghai Jiao Tong University,GCA_003143515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/143/515/GCF_003143515.1_ASM314351v1,,"
",GCF_003143515.1_ASM314351v1_genomic.gbff
GCF_003143535.1,GCF_003143535.1,PRJNA224116,SAMN09065711,,representative genome,998844,998844,Allopseudarcicella aquatilis,strain=HME7025,,latest,Complete Genome,Major,Full,2018/05/19,ASM314353v1,Hankuk University of Foreign Studies,GCA_003143535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/143/535/GCF_003143535.1_ASM314353v1,,"assembly from type material
",GCF_003143535.1_ASM314353v1_genomic.gbff
GCF_003147565.1,GCF_003147565.1,PRJNA224116,SAMN06628374,,na,2109,2109,Mycoplasma synoviae,strain=MS-H,,latest,Complete Genome,Major,Full,2018/05/22,ASM314756v1,The University of Melbourne,GCA_003147565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/147/565/GCF_003147565.1_ASM314756v1,,"
",GCF_003147565.1_ASM314756v1_genomic.gbff
GCF_003148385.1,GCF_003148385.1,PRJNA224116,SAMN09205926,,representative genome,2201181,2201181,Flavobacterium sediminis,strain=MEBiC07310,,latest,Complete Genome,Major,Full,2018/05/23,ASM314838v1,National Marine Biodiversity Institute of Korea,GCA_003148385.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/148/385/GCF_003148385.1_ASM314838v1,,"assembly from type material
",GCF_003148385.1_ASM314838v1_genomic.gbff
GCF_003149495.1,GCF_003149495.1,PRJNA224116,SAMN08361974,,na,114,114,Gemmata obscuriglobus,strain=DSM 5831,,latest,Complete Genome,Major,Full,2018/05/23,ASM314949v1,Creighton University,GCA_003149495.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/149/495/GCF_003149495.1_ASM314949v1,,"assembly from type material
",GCF_003149495.1_ASM314949v1_genomic.gbff
GCF_003150835.1,GCF_003150835.1,PRJNA224116,SAMN09212968,,na,2201350,2201350,Phenylobacterium sp. HYN0004,strain=HYN0004,,latest,Complete Genome,Major,Full,2018/05/24,ASM315083v1,Korea University,GCA_003150835.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/150/835/GCF_003150835.1_ASM315083v1,,"
",GCF_003150835.1_ASM315083v1_genomic.gbff
GCF_003173715.1,GCF_003173715.1,PRJNA224116,SAMN09235291,,representative genome,2202825,2202825,Methylobacterium durans,strain=17SD2-17,,latest,Complete Genome,Major,Full,2018/05/29,ASM317371v1,Seoul Women's University,GCA_003173715.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/173/715/GCF_003173715.1_ASM317371v1,,"assembly from type material
",GCF_003173715.1_ASM317371v1_genomic.gbff
GCF_003176915.1,GCF_003176915.1,PRJNA224116,SAMN09237133,,na,247481,247481,Candidatus Cardinium hertigii,strain=cHgTN10,,latest,Complete Genome,Major,Full,2018/05/30,ASM317691v1,University of Illinois,GCA_003176915.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/176/915/GCF_003176915.1_ASM317691v1,,"
",GCF_003176915.1_ASM317691v1_genomic.gbff
GCF_003177035.1,GCF_003177035.1,PRJNA224116,SAMN08906338,,na,2183911,2183911,Salinisphaera sp. LB1,strain=LB1,,latest,Complete Genome,Major,Full,2018/05/30,ASM317703v1,Oak Ridge National Laboratory,GCA_003177035.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/177/035/GCF_003177035.1_ASM317703v1,,"
",GCF_003177035.1_ASM317703v1_genomic.gbff
GCF_003184265.1,GCF_003184265.1,PRJNA224116,SAMN08523059,,na,1281578,1281578,Acidiferrobacter sp. SPIII_3,strain=SPIII_3,,latest,Complete Genome,Major,Full,2018/06/04,ASM318426v1,Fundacion Ciencia & Vida,GCA_003184265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/265/GCF_003184265.1_ASM318426v1,,"
",GCF_003184265.1_ASM318426v1_genomic.gbff
GCF_003185725.2,GCF_003185725.2,PRJNA224116,SAMN08929984,,na,2170745,2170745,Auritidibacter sp. NML130574,strain=NML130574,,latest,Complete Genome,Major,Full,2018/08/28,ASM318572v2,national microbiology laboratory,GCA_003185725.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/185/725/GCF_003185725.2_ASM318572v2,,"
",GCF_003185725.2_ASM318572v2_genomic.gbff
GCF_003213725.2,GCF_003213725.2,PRJNA224116,SAMD00106671,,representative genome,213,213,Helicobacter cinaedi,strain=P01D0000,,latest,Complete Genome,Major,Full,2018/06/09,ASM321372v2,"Microbiology, Graduate School of Medical Sciences, Kyushu University",GCA_003213725.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/213/725/GCF_003213725.2_ASM321372v2,,"
",GCF_003213725.2_ASM321372v2_genomic.gbff
GCF_003253775.1,GCF_003253775.1,PRJNA224116,SAMN09104579,,representative genome,1769,1769,Mycobacterium leprae,strain=MRHRU-235-G,,latest,Complete Genome,Major,Full,2018/06/18,ASM325377v1,National JALMA Institute for Leprosy and Other Mycobacterial Diseases,GCA_003253775.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/253/775/GCF_003253775.1_ASM325377v1,,"
",GCF_003253775.1_ASM325377v1_genomic.gbff
GCF_003258315.1,GCF_003258315.1,PRJNA224116,SAMN09396997,,representative genome,1548548,1548548,Bradymonas sediminis,strain=FA350,,latest,Complete Genome,Major,Full,2018/06/20,ASM325831v1,Shandong University at Weihai,GCA_003258315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/315/GCF_003258315.1_ASM325831v1,,"assembly from type material
",GCF_003258315.1_ASM325831v1_genomic.gbff
GCF_003258705.1,GCF_003258705.1,PRJNA224116,SAMN09208224,,representative genome,1784714,1784714,Arcticibacterium luteifluviistationis,strain=SM1504T,,latest,Complete Genome,Major,Full,2018/06/20,ASM325870v1,Shandong University,GCA_003258705.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/705/GCF_003258705.1_ASM325870v1,,"assembly from type material
",GCF_003258705.1_ASM325870v1_genomic.gbff
GCF_003268655.1,GCF_003268655.1,PRJNA224116,SAMN09273369,,representative genome,2211210,2211210,Arthrobacter dokdonellae,,rhizosphere,latest,Complete Genome,Major,Full,2018/06/27,ASM326865v1,Jeju National University,GCA_003268655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/268/655/GCF_003268655.1_ASM326865v1,,"assembly from type material
",GCF_003268655.1_ASM326865v1_genomic.gbff
GCF_003269425.1,GCF_003269425.1,PRJNA224116,SAMN09428147,,representative genome,1383885,1383885,Flagellimonas maritima,strain=HME9304,,latest,Complete Genome,Major,Full,2018/06/28,ASM326942v1,Hankuk University of Foreign Studies,GCA_003269425.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/269/425/GCF_003269425.1_ASM326942v1,,"assembly from type material
",GCF_003269425.1_ASM326942v1_genomic.gbff
GCF_003286395.1,GCF_003286395.1,PRJNA224116,SAMN09273370,,representative genome,2211211,2211211,Paraburkholderia dokdonella,strain=DCT13,rhisosphere,latest,Complete Genome,Major,Full,2018/06/27,ASM328639v1,Jeju National University,GCA_003286395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/286/395/GCF_003286395.1_ASM328639v1,,"
",GCF_003286395.1_ASM328639v1_genomic.gbff
GCF_003286415.2,GCF_003286415.2,PRJNA224116,SAMN09041816,,representative genome,2027860,2027860,Mucilaginibacter rubeus,strain=P1,,latest,Complete Genome,Major,Full,2019/09/05,ASM328641v2,Institute of Environmental Microbiology,GCA_003286415.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/286/415/GCF_003286415.2_ASM328641v2,,"
",GCF_003286415.2_ASM328641v2_genomic.gbff
GCF_003286435.2,GCF_003286435.2,PRJNA224116,SAMN09197187,,representative genome,551996,551996,Mucilaginibacter gossypii,strain=P4,,latest,Complete Genome,Major,Full,2019/09/05,ASM328643v2,Institute of Environmental Microbiology,GCA_003286435.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/286/435/GCF_003286435.2_ASM328643v2,,"
",GCF_003286435.2_ASM328643v2_genomic.gbff
GCF_003288255.1,GCF_003288255.1,PRJNA224116,SAMN08456352,,na,2082193,2082193,Clostridiaceae bacterium 14S0207,strain=14S0207,,latest,Complete Genome,Major,Full,2018/07/05,ASM328825v1,Friedrich-Loeffler-Institut,GCA_003288255.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/288/255/GCF_003288255.1_ASM328825v1,,"
",GCF_003288255.1_ASM328825v1_genomic.gbff
GCF_003290325.1,GCF_003290325.1,PRJNA224116,SAMN09375024,,na,146919,146919,Salinibacter ruber,strain=P13,,latest,Complete Genome,Major,Full,2018/07/08,ASM329032v1,Centre for Genomic Regulation (CRG),GCA_003290325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/290/325/GCF_003290325.1_ASM329032v1,,"
",GCF_003290325.1_ASM329032v1_genomic.gbff
GCF_003325375.1,GCF_003325375.1,PRJNA224116,SAMN08286884,,representative genome,68209,68209,Streptomyces globosus,strain=LZH-48,,latest,Complete Genome,Major,Full,2018/07/17,ASM332537v1,Dezhou University,GCA_003325375.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/325/375/GCF_003325375.1_ASM332537v1,,"
",GCF_003325375.1_ASM332537v1_genomic.gbff
GCF_003325455.1,GCF_003325455.1,PRJNA224116,SAMN08125534,,representative genome,2057246,2057246,Acidipropionibacterium virtanenii,strain=JS278,,latest,Complete Genome,Major,Full,2018/07/17,ASM332545v1,University of Helsinki,GCA_003325455.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/325/455/GCF_003325455.1_ASM332545v1,,"assembly from type material
",GCF_003325455.1_ASM332545v1_genomic.gbff
GCF_003330725.1,GCF_003330725.1,PRJNA224116,SAMN09460743,,representative genome,2211140,2211140,Acidisarcina polymorpha,strain=SBC82,,latest,Complete Genome,Major,Full,2018/07/20,ASM333072v1,"Institute of Bioengineering, Research Center of Biotechnology of RAS",GCA_003330725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/330/725/GCF_003330725.1_ASM333072v1,,"assembly from type material
",GCF_003330725.1_ASM333072v1_genomic.gbff
GCF_003330745.1,GCF_003330745.1,PRJNA224116,SAMN07985394,,representative genome,134536,134536,Paraburkholderia caledonica,strain=PHRS4,,latest,Complete Genome,Major,Full,2018/07/20,ASM333074v1,Netherlands Institute of Ecology,GCA_003330745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/330/745/GCF_003330745.1_ASM333074v1,,"
",GCF_003330745.1_ASM333074v1_genomic.gbff
GCF_003330785.1,GCF_003330785.1,PRJNA224116,SAMN07985399,,representative genome,60548,60548,Paraburkholderia graminis,strain=PHS1,,latest,Complete Genome,Major,Full,2018/07/20,ASM333078v1,Netherlands Institute of Ecology,GCA_003330785.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/330/785/GCF_003330785.1_ASM333078v1,,"
",GCF_003330785.1_ASM333078v1_genomic.gbff
GCF_003330865.1,GCF_003330865.1,PRJNA224116,SAMN08612569,,representative genome,1893,1893,Streptomyces atratus,strain=SCSIO_ZH16,,latest,Complete Genome,Major,Full,2018/07/20,ASM333086v1,"South China Sea Institute of Oceanology,Chinese Academy of Sciences",GCA_003330865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/330/865/GCF_003330865.1_ASM333086v1,,"
",GCF_003330865.1_ASM333086v1_genomic.gbff
GCF_003330885.1,GCF_003330885.1,PRJNA224116,SAMN09453063,,na,2026785,2026785,Rhodobiaceae bacterium,strain=SMS8,,latest,Complete Genome,Major,Full,2018/07/20,ASM333088v1,University of Gothenburg,GCA_003330885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/330/885/GCF_003330885.1_ASM333088v1,,"
",GCF_003330885.1_ASM333088v1_genomic.gbff
GCF_003335165.1,GCF_003335165.1,PRJNA224116,SAMN09652504,,na,40214,40214,Acinetobacter johnsonii,strain=LXL_C1,,latest,Complete Genome,Major,Full,2018/07/22,ASM333516v1,University of Science and Technology Beijing,GCA_003335165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/335/165/GCF_003335165.1_ASM333516v1,,"
",GCF_003335165.1_ASM333516v1_genomic.gbff
GCF_003336345.1,GCF_003336345.1,PRJNA224116,SAMN09667310,,na,2282310,2282310,Leclercia sp. W6,strain=W6,,latest,Complete Genome,Major,Full,2018/07/24,ASM333634v1,"Second Institute of Oceanography, State Oceanic Administration",GCA_003336345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/336/345/GCF_003336345.1_ASM333634v1,,"
",GCF_003336345.1_ASM333634v1_genomic.gbff
GCF_003336365.1,GCF_003336365.1,PRJNA224116,SAMN09644204,,representative genome,2099786,2099786,Salicibibacter kimchii,strain=NKC1-1,,latest,Complete Genome,Major,Full,2018/07/24,ASM333636v1,World Institute of Kimchi,GCA_003336365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/336/365/GCF_003336365.1_ASM333636v1,,"assembly from type material
",GCF_003336365.1_ASM333636v1_genomic.gbff
GCF_003339775.1,GCF_003339775.1,PRJNA224116,SAMN08579949,,representative genome,1276259,47835,Spiroplasma phoeniceum P40,strain=P40,,latest,Complete Genome,Major,Full,2018/07/25,ASM333977v1,Beltsville Agricultural Research Center,GCA_003339775.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/339/775/GCF_003339775.1_ASM333977v1,,"assembly from type material
",GCF_003339775.1_ASM333977v1_genomic.gbff
GCF_003344865.1,GCF_003344865.1,PRJNA224116,SAMN09691332,,na,1608957,1608957,Euzebya sp. DY32-46,strain=DY32-46,,latest,Complete Genome,Major,Full,2018/07/29,ASM334486v1,Zhejiang Sci-Tech University,GCA_003344865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/344/865/GCF_003344865.1_ASM334486v1,,"
",GCF_003344865.1_ASM334486v1_genomic.gbff
GCF_003344925.1,GCF_003344925.1,PRJNA224116,SAMN09699165,,representative genome,1784713,1784713,Flavobacterium arcticum,strain=SM1502,,latest,Complete Genome,Major,Full,2018/07/30,ASM334492v1,Shandong University,GCA_003344925.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/344/925/GCF_003344925.1_ASM334492v1,,"assembly from type material
",GCF_003344925.1_ASM334492v1_genomic.gbff
GCF_003351745.1,GCF_003351745.1,PRJNA224116,SAMN09708414,,na,2283318,2283318,Moraxellaceae bacterium HYN0046,strain=HYN0046,,latest,Complete Genome,Major,Full,2018/08/01,ASM335174v1,Korea University,GCA_003351745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/351/745/GCF_003351745.1_ASM335174v1,,"
",GCF_003351745.1_ASM335174v1_genomic.gbff
GCF_003351765.1,GCF_003351765.1,PRJNA224116,SAMN09708380,,na,2283195,2283195,Ornithinimicrobium sp. AMA3305,strain=AMA3305,,latest,Complete Genome,Major,Full,2018/08/01,ASM335176v1,Kyung Hee University,GCA_003351765.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/351/765/GCF_003351765.1_ASM335176v1,,"
",GCF_003351765.1_ASM335176v1_genomic.gbff
GCF_003351905.1,GCF_003351905.1,PRJNA224116,SAMN07279999,,na,650378,650378,Cardinium endosymbiont of Sogatella furcifera,strain=cSfur,,latest,Complete Genome,Major,Full,2018/08/01,ASM335190v1,University of Science and Technology of China,GCA_003351905.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/351/905/GCF_003351905.1_ASM335190v1,,"
",GCF_003351905.1_ASM335190v1_genomic.gbff
GCF_003352005.1,GCF_003352005.1,PRJNA224116,SAMN07981157,,na,2052660,2052660,Oceanobacillus sp. 160,strain=160,,latest,Complete Genome,Major,Full,2018/08/01,ASM335200v1,Chinese Center for Disease Control and Prevention,GCA_003352005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/352/005/GCF_003352005.1_ASM335200v1,,"
",GCF_003352005.1_ASM335200v1_genomic.gbff
GCF_003352165.1,GCF_003352165.1,PRJNA224116,SAMN09005679,,representative genome,1969806,1969806,Acidibrevibacterium fodinaquatile,strain=G45-3,,latest,Complete Genome,Major,Full,2018/08/01,ASM335216v1,institute of microbiology,GCA_003352165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/352/165/GCF_003352165.1_ASM335216v1,,"assembly from type material
",GCF_003352165.1_ASM335216v1_genomic.gbff
GCF_003352465.1,GCF_003352465.1,PRJNA224116,SAMN09531906,,na,2282170,2282170,Kordia sp. SMS9,strain=SMS9,,latest,Complete Genome,Major,Full,2018/08/01,ASM335246v1,University of Gothenburg,GCA_003352465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/352/465/GCF_003352465.1_ASM335246v1,,"
",GCF_003352465.1_ASM335246v1_genomic.gbff
GCF_003353065.1,GCF_003353065.1,PRJNA224116,SAMN07284862,,na,1457365,1457365,Candidatus Cyclonatronum proteinivorum,strain=Omega,,latest,Complete Genome,Major,Full,2018/08/02,ASM335306v1,Immanuel Kant Baltic Federal University,GCA_003353065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/353/065/GCF_003353065.1_ASM335306v1,,"
",GCF_003353065.1_ASM335306v1_genomic.gbff
GCF_003366055.1,GCF_003366055.1,PRJNA224116,SAMN08225565,,na,2066483,2066483,Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1),strain=SeV1,,latest,Complete Genome,Major,Full,2018/08/07,ASM336605v1,University of British Columbia,GCA_003366055.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/366/055/GCF_003366055.1_ASM336605v1,,"
",GCF_003366055.1_ASM336605v1_genomic.gbff
GCF_003367315.1,GCF_003367315.1,PRJNA224116,SAMN09742601,,representative genome,2161747,2161747,Saccharospirillum mangrovi,strain=HK-33,,latest,Complete Genome,Major,Full,2018/08/08,ASM336731v1,Zhejiang University,GCA_003367315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/367/315/GCF_003367315.1_ASM336731v1,,"assembly from type material
",GCF_003367315.1_ASM336731v1_genomic.gbff
GCF_003367355.1,GCF_003367355.1,PRJNA224116,SAMN09726147,,na,2290922,2290922,Lysobacter sp. TY2-98,strain=TY2-98,,latest,Complete Genome,Major,Full,2018/08/08,ASM336735v1,Korean Research Institute of Bio-Science & Bio-Technology,GCA_003367355.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/367/355/GCF_003367355.1_ASM336735v1,,"
",GCF_003367355.1_ASM336735v1_genomic.gbff
